data_size,operation_type,write_buffer_size,block_cache_size,compaction_style,bloom_filter_policy,number_of_operations
104857600,GET,2M,128M,level,true,100
104857600,GET,2M,128M,level,true,1000
104857600,GET,2M,128M,level,true,10000
104857600,GET,2M,128M,level,true,100000
104857600,GET,2M,64M,level,true,100
104857600,GET,2M,64M,level,true,1000
104857600,GET,2M,64M,level,true,10000
104857600,GET,2M,64M,level,true,100000
104857600,PUT,2M,128M,level,true,100
104857600,PUT,2M,128M,level,true,1000
104857600,PUT,2M,128M,level,true,10000
104857600,PUT,2M,128M,level,true,100000
104857600,PUT,2M,64M,level,true,100
104857600,PUT,2M,64M,level,true,1000
104857600,PUT,2M,64M,level,true,10000
104857600,PUT,2M,64M,level,true,100000
104857600,SEEK,2M,128M,level,true,100
104857600,SEEK,2M,128M,level,true,1000
104857600,SEEK,2M,128M,level,true,10000
104857600,SEEK,2M,128M,level,true,100000
104857600,SEEK,2M,64M,level,true,100
104857600,SEEK,2M,64M,level,true,1000
104857600,SEEK,2M,64M,level,true,10000
104857600,SEEK,2M,64M,level,true,100000
1073741824,GET,2M,128M,level,true,100
1073741824,GET,2M,128M,level,true,1000
1073741824,GET,2M,128M,level,true,10000
1073741824,GET,2M,128M,level,true,100000
1073741824,GET,2M,64M,level,true,100
1073741824,GET,2M,64M,level,true,1000
1073741824,GET,2M,64M,level,true,10000
1073741824,GET,2M,64M,level,true,100000
1073741824,PUT,2M,128M,level,true,100
1073741824,PUT,2M,128M,level,true,1000
1073741824,PUT,2M,128M,level,true,10000
1073741824,PUT,2M,128M,level,true,100000
1073741824,PUT,2M,64M,level,true,100
1073741824,PUT,2M,64M,level,true,1000
1073741824,PUT,2M,64M,level,true,10000
1073741824,PUT,2M,64M,level,true,100000
1073741824,SEEK,2M,128M,level,true,100
1073741824,SEEK,2M,128M,level,true,1000
1073741824,SEEK,2M,128M,level,true,10000
1073741824,SEEK,2M,128M,level,true,100000
1073741824,SEEK,2M,64M,level,true,100
1073741824,SEEK,2M,64M,level,true,1000
1073741824,SEEK,2M,64M,level,true,10000
1073741824,SEEK,2M,64M,level,true,100000
10737418240,GET,2M,128M,level,true,100
10737418240,GET,2M,128M,level,true,1000
10737418240,GET,2M,128M,level,true,10000
10737418240,GET,2M,128M,level,true,100000
10737418240,GET,2M,64M,level,true,100
10737418240,GET,2M,64M,level,true,1000
10737418240,GET,2M,64M,level,true,10000
10737418240,GET,2M,64M,level,true,100000
10737418240,PUT,2M,128M,level,true,100
10737418240,PUT,2M,128M,level,true,1000
10737418240,PUT,2M,128M,level,true,10000
10737418240,PUT,2M,128M,level,true,100000
10737418240,PUT,2M,64M,level,true,100
10737418240,PUT,2M,64M,level,true,1000
10737418240,PUT,2M,64M,level,true,10000
10737418240,PUT,2M,64M,level,true,100000
10737418240,SEEK,2M,128M,level,true,100
10737418240,SEEK,2M,128M,level,true,1000
10737418240,SEEK,2M,128M,level,true,10000
10737418240,SEEK,2M,128M,level,true,100000
10737418240,SEEK,2M,64M,level,true,100
10737418240,SEEK,2M,64M,level,true,1000
10737418240,SEEK,2M,64M,level,true,10000
10737418240,SEEK,2M,64M,level,true,100000
