group,display_name,mse,count,latency_mean,latency_std,data_size_display,number_of_operations,data_size
10GB_100,"data_size=10GB, number_of_operations=100",62973.68,453,174.10,181.55,10GB,100,10737418240
10GB_6400,"data_size=10GB, number_of_operations=6400",34204.20,31272,132.77,129.41,10GB,6400,10737418240
10GB_800,"data_size=10GB, number_of_operations=800",34009.55,3766,127.92,133.47,10GB,800,10737418240
10GB_51200,"data_size=10GB, number_of_operations=51200",26718.25,249671,110.20,121.31,10GB,51200,10737418240
10GB_409600,"data_size=10GB, number_of_operations=409600",22506.03,1988991,100.78,111.71,10GB,409600,10737418240
5GB_100,"data_size=5GB, number_of_operations=100",167.65,413,12.99,3.91,5GB,100,5368709120
200MB_800,"data_size=200MB, number_of_operations=800",108.47,3908,10.38,3.68,200MB,800,209715200
200MB_100,"data_size=200MB, number_of_operations=100",107.52,406,10.50,3.21,200MB,100,209715200
5GB_800,"data_size=5GB, number_of_operations=800",93.80,3761,10.01,2.47,5GB,800,5368709120
2GB_100,"data_size=2GB, number_of_operations=100",90.43,450,10.03,1.53,2GB,100,2147483648
2GB_6400,"data_size=2GB, number_of_operations=6400",83.73,30922,9.43,2.56,2GB,6400,2147483648
2GB_800,"data_size=2GB, number_of_operations=800",75.93,3688,9.08,2.18,2GB,800,2147483648
500MB_100,"data_size=500MB, number_of_operations=100",75.41,456,8.99,2.38,500MB,100,524288000
5GB_6400,"data_size=5GB, number_of_operations=6400",71.99,28882,9.00,1.49,5GB,6400,5368709120
500MB_800,"data_size=500MB, number_of_operations=800",62.58,3748,8.30,1.98,500MB,800,524288000
2GB_51200,"data_size=2GB, number_of_operations=51200",59.45,230245,8.23,1.38,2GB,51200,2147483648
1GB_100,"data_size=1GB, number_of_operations=100",55.01,448,7.92,1.41,1GB,100,1073741824
5GB_51200,"data_size=5GB, number_of_operations=51200",53.02,236822,7.80,1.35,5GB,51200,5368709120
1GB_6400,"data_size=1GB, number_of_operations=6400",52.88,29031,7.76,1.49,1GB,6400,1073741824
500MB_6400,"data_size=500MB, number_of_operations=6400",45.52,29648,7.24,1.43,500MB,6400,524288000
2GB_409600,"data_size=2GB, number_of_operations=409600",43.99,1713285,7.22,0.82,2GB,409600,2147483648
5GB_409600,"data_size=5GB, number_of_operations=409600",43.27,1740526,7.18,0.75,5GB,409600,5368709120
200MB_51200,"data_size=200MB, number_of_operations=51200",42.99,239882,7.01,1.56,200MB,51200,209715200
200MB_6400,"data_size=200MB, number_of_operations=6400",42.88,24036,7.15,0.71,200MB,6400,209715200
1GB_51200,"data_size=1GB, number_of_operations=51200",42.10,238281,6.94,1.55,1GB,51200,1073741824
1GB_800,"data_size=1GB, number_of_operations=800",39.49,3733,6.81,1.23,1GB,800,1073741824
500MB_51200,"data_size=500MB, number_of_operations=51200",33.68,196318,6.40,0.72,500MB,51200,524288000
100MB_100,"data_size=100MB, number_of_operations=100",31.76,469,6.16,1.16,100MB,100,104857600
1GB_409600,"data_size=1GB, number_of_operations=409600",31.15,1718042,6.17,0.77,1GB,409600,1073741824
500MB_409600,"data_size=500MB, number_of_operations=409600",27.14,1813437,5.80,0.71,500MB,409600,524288000
200MB_409600,"data_size=200MB, number_of_operations=409600",26.58,1784396,5.73,0.81,200MB,409600,209715200
100MB_800,"data_size=100MB, number_of_operations=800",23.44,3671,5.45,0.60,100MB,800,104857600
100MB_6400,"data_size=100MB, number_of_operations=6400",22.30,25985,5.32,0.66,100MB,6400,104857600
100MB_51200,"data_size=100MB, number_of_operations=51200",17.12,233273,4.65,1.01,100MB,51200,104857600
100MB_409600,"data_size=100MB, number_of_operations=409600",16.79,1897257,4.61,1.02,100MB,409600,104857600
