group,display_name,mse,count,latency_mean,latency_std,operation_type,data_size_display,number_of_operations,data_size
GET_10GB_100,"operation_type=GET, data_size=10GB, number_of_operations=100",62800.66,453,174.10,181.55,GET,10GB,100,10737418240
GET_10GB_6400,"operation_type=GET, data_size=10GB, number_of_operations=6400",34072.48,31272,132.77,129.41,GET,10GB,6400,10737418240
GET_10GB_800,"operation_type=GET, data_size=10GB, number_of_operations=800",33882.66,3766,127.92,133.47,GET,10GB,800,10737418240
GET_10GB_51200,"operation_type=GET, data_size=10GB, number_of_operations=51200",26609.06,249671,110.20,121.31,GET,10GB,51200,10737418240
GET_10GB_409600,"operation_type=GET, data_size=10GB, number_of_operations=409600",22406.25,1988991,100.78,111.71,GET,10GB,409600,10737418240
SEEK_2GB_51200,"operation_type=SEEK, data_size=2GB, number_of_operations=51200",579.08,220588,24.37,6.30,SEEK,2GB,51200,2147483648
SEEK_1GB_6400,"operation_type=SEEK, data_size=1GB, number_of_operations=6400",381.81,31406,18.91,8.13,SEEK,1GB,6400,1073741824
SEEK_5GB_51200,"operation_type=SEEK, data_size=5GB, number_of_operations=51200",317.69,251744,17.79,6.37,SEEK,5GB,51200,5368709120
SEEK_200MB_6400,"operation_type=SEEK, data_size=200MB, number_of_operations=6400",302.36,27484,18.44,1.81,SEEK,200MB,6400,209715200
SEEK_200MB_800,"operation_type=SEEK, data_size=200MB, number_of_operations=800",276.05,3528,17.57,2.47,SEEK,200MB,800,209715200
SEEK_1GB_51200,"operation_type=SEEK, data_size=1GB, number_of_operations=51200",275.47,224647,17.42,3.22,SEEK,1GB,51200,1073741824
SEEK_500MB_6400,"operation_type=SEEK, data_size=500MB, number_of_operations=6400",274.88,31812,15.79,7.76,SEEK,500MB,6400,524288000
SEEK_10GB_51200,"operation_type=SEEK, data_size=10GB, number_of_operations=51200",194.21,247368,13.73,5.98,SEEK,10GB,51200,10737418240
SEEK_2GB_409600,"operation_type=SEEK, data_size=2GB, number_of_operations=409600",186.46,2036544,12.30,7.88,SEEK,2GB,409600,2147483648
SEEK_200MB_51200,"operation_type=SEEK, data_size=200MB, number_of_operations=51200",185.97,254458,12.50,7.55,SEEK,200MB,51200,209715200
SEEK_10GB_6400,"operation_type=SEEK, data_size=10GB, number_of_operations=6400",184.07,30863,13.77,4.95,SEEK,10GB,6400,10737418240
SEEK_1GB_800,"operation_type=SEEK, data_size=1GB, number_of_operations=800",175.05,3762,12.80,6.26,SEEK,1GB,800,1073741824
SEEK_5GB_6400,"operation_type=SEEK, data_size=5GB, number_of_operations=6400",155.78,31488,13.01,3.86,SEEK,5GB,6400,5368709120
GET_5GB_100,"operation_type=GET, data_size=5GB, number_of_operations=100",155.57,413,12.99,3.91,GET,5GB,100,5368709120
SEEK_500MB_800,"operation_type=SEEK, data_size=500MB, number_of_operations=800",130.82,3931,11.72,4.34,SEEK,500MB,800,524288000
SEEK_2GB_800,"operation_type=SEEK, data_size=2GB, number_of_operations=800",105.55,3738,10.63,3.94,SEEK,2GB,800,2147483648
SEEK_5GB_409600,"operation_type=SEEK, data_size=5GB, number_of_operations=409600",101.06,1959704,9.85,5.02,SEEK,5GB,409600,5368709120
GET_200MB_800,"operation_type=GET, data_size=200MB, number_of_operations=800",98.99,3908,10.38,3.68,GET,200MB,800,209715200
GET_200MB_100,"operation_type=GET, data_size=200MB, number_of_operations=100",97.92,406,10.50,3.21,GET,200MB,100,209715200
SEEK_500MB_100,"operation_type=SEEK, data_size=500MB, number_of_operations=100",94.98,422,10.02,4.03,SEEK,500MB,100,524288000
SEEK_200MB_100,"operation_type=SEEK, data_size=200MB, number_of_operations=100",92.11,454,10.59,1.71,SEEK,200MB,100,209715200
SEEK_1GB_100,"operation_type=SEEK, data_size=1GB, number_of_operations=100",88.09,478,10.15,2.64,SEEK,1GB,100,1073741824
GET_5GB_800,"operation_type=GET, data_size=5GB, number_of_operations=800",84.69,3761,10.01,2.47,GET,5GB,800,5368709120
SEEK_5GB_800,"operation_type=SEEK, data_size=5GB, number_of_operations=800",83.58,3868,10.04,2.10,SEEK,5GB,800,5368709120
SEEK_200MB_409600,"operation_type=SEEK, data_size=200MB, number_of_operations=409600",83.27,2035075,7.85,6.19,SEEK,200MB,409600,209715200
SEEK_2GB_6400,"operation_type=SEEK, data_size=2GB, number_of_operations=6400",83.23,29951,9.91,2.51,SEEK,2GB,6400,2147483648
GET_2GB_100,"operation_type=GET, data_size=2GB, number_of_operations=100",81.30,450,10.03,1.53,GET,2GB,100,2147483648
SEEK_10GB_800,"operation_type=SEEK, data_size=10GB, number_of_operations=800",78.48,3806,9.34,3.36,SEEK,10GB,800,10737418240
SEEK_5GB_100,"operation_type=SEEK, data_size=5GB, number_of_operations=100",78.41,474,9.43,3.11,SEEK,5GB,100,5368709120
SEEK_10GB_100,"operation_type=SEEK, data_size=10GB, number_of_operations=100",75.58,468,9.58,2.09,SEEK,10GB,100,10737418240
GET_2GB_6400,"operation_type=GET, data_size=2GB, number_of_operations=6400",75.21,30922,9.43,2.56,GET,2GB,6400,2147483648
SEEK_2GB_100,"operation_type=SEEK, data_size=2GB, number_of_operations=100",68.96,471,9.12,2.32,SEEK,2GB,100,2147483648
GET_2GB_800,"operation_type=GET, data_size=2GB, number_of_operations=800",67.75,3688,9.08,2.18,GET,2GB,800,2147483648
GET_500MB_100,"operation_type=GET, data_size=500MB, number_of_operations=100",67.32,456,8.99,2.38,GET,500MB,100,524288000
GET_5GB_6400,"operation_type=GET, data_size=5GB, number_of_operations=6400",63.90,28882,9.00,1.49,GET,5GB,6400,5368709120
GET_500MB_800,"operation_type=GET, data_size=500MB, number_of_operations=800",55.18,3748,8.30,1.98,GET,500MB,800,524288000
SEEK_10GB_409600,"operation_type=SEEK, data_size=10GB, number_of_operations=409600",54.33,1889664,8.18,2.20,SEEK,10GB,409600,10737418240
GET_2GB_51200,"operation_type=GET, data_size=2GB, number_of_operations=51200",52.12,230245,8.23,1.38,GET,2GB,51200,2147483648
SEEK_500MB_51200,"operation_type=SEEK, data_size=500MB, number_of_operations=51200",48.97,227579,6.84,4.06,SEEK,500MB,51200,524288000
GET_1GB_100,"operation_type=GET, data_size=1GB, number_of_operations=100",47.98,448,7.92,1.41,GET,1GB,100,1073741824
GET_5GB_51200,"operation_type=GET, data_size=5GB, number_of_operations=51200",46.12,236822,7.80,1.35,GET,5GB,51200,5368709120
GET_1GB_6400,"operation_type=GET, data_size=1GB, number_of_operations=6400",46.02,29031,7.76,1.49,GET,1GB,6400,1073741824
GET_500MB_6400,"operation_type=GET, data_size=500MB, number_of_operations=6400",39.18,29648,7.24,1.43,GET,500MB,6400,524288000
GET_2GB_409600,"operation_type=GET, data_size=2GB, number_of_operations=409600",37.66,1713285,7.22,0.82,GET,2GB,409600,2147483648
GET_5GB_409600,"operation_type=GET, data_size=5GB, number_of_operations=409600",36.99,1740526,7.18,0.75,GET,5GB,409600,5368709120
