group,display_name,mse,count,latency_mean,latency_std,data_size_display,number_of_operations,data_size
200MB_800,"data_size=200MB, number_of_operations=800",24.16,2700,5.00,0.00,200MB,800,209715200
200MB_6400,"data_size=200MB, number_of_operations=6400",24.16,21089,5.00,0.00,200MB,6400,209715200
200MB_51200,"data_size=200MB, number_of_operations=51200",24.16,171565,5.00,0.00,200MB,51200,209715200
2GB_800,"data_size=2GB, number_of_operations=800",24.16,2186,5.00,0.00,2GB,800,2147483648
2GB_100,"data_size=2GB, number_of_operations=100",24.16,273,5.00,0.00,2GB,100,2147483648
200MB_100,"data_size=200MB, number_of_operations=100",24.16,341,5.00,0.00,200MB,100,209715200
200MB_409600,"data_size=200MB, number_of_operations=409600",24.16,1435918,5.00,0.00,200MB,409600,209715200
2GB_409600,"data_size=2GB, number_of_operations=409600",22.64,1827976,4.81,0.59,2GB,409600,2147483648
2GB_51200,"data_size=2GB, number_of_operations=51200",22.46,229040,4.79,0.60,2GB,51200,2147483648
2GB_6400,"data_size=2GB, number_of_operations=6400",22.32,28607,4.77,0.60,2GB,6400,2147483648
10GB_409600,"data_size=10GB, number_of_operations=409600",22.22,1810458,4.76,0.61,10GB,409600,10737418240
500MB_6400,"data_size=500MB, number_of_operations=6400",22.17,28949,4.75,0.60,500MB,6400,524288000
500MB_409600,"data_size=500MB, number_of_operations=409600",21.64,1850869,4.70,0.60,500MB,409600,524288000
500MB_800,"data_size=500MB, number_of_operations=800",21.56,3606,4.69,0.62,500MB,800,524288000
500MB_51200,"data_size=500MB, number_of_operations=51200",21.34,231100,4.66,0.62,500MB,51200,524288000
500MB_100,"data_size=500MB, number_of_operations=100",21.25,459,4.66,0.60,500MB,100,524288000
10GB_51200,"data_size=10GB, number_of_operations=51200",21.23,227566,4.65,0.64,10GB,51200,10737418240
10GB_6400,"data_size=10GB, number_of_operations=6400",20.92,28550,4.61,0.64,10GB,6400,10737418240
10GB_800,"data_size=10GB, number_of_operations=800",20.35,3569,4.55,0.64,10GB,800,10737418240
5GB_6400,"data_size=5GB, number_of_operations=6400",20.34,28584,4.55,0.64,5GB,6400,5368709120
5GB_51200,"data_size=5GB, number_of_operations=51200",20.25,228286,4.54,0.63,5GB,51200,5368709120
5GB_409600,"data_size=5GB, number_of_operations=409600",20.15,1831745,4.53,0.63,5GB,409600,5368709120
5GB_100,"data_size=5GB, number_of_operations=100",19.94,448,4.51,0.62,5GB,100,5368709120
10GB_100,"data_size=10GB, number_of_operations=100",19.89,459,4.50,0.64,10GB,100,10737418240
5GB_800,"data_size=5GB, number_of_operations=800",19.31,3594,4.43,0.62,5GB,800,5368709120
100MB_409600,"data_size=100MB, number_of_operations=409600",18.10,1921335,4.31,0.52,100MB,409600,104857600
1GB_100,"data_size=1GB, number_of_operations=100",17.94,458,4.28,0.57,1GB,100,1073741824
1GB_51200,"data_size=1GB, number_of_operations=51200",17.82,235511,4.27,0.55,1GB,51200,1073741824
1GB_409600,"data_size=1GB, number_of_operations=409600",17.79,1875072,4.27,0.55,1GB,409600,1073741824
1GB_6400,"data_size=1GB, number_of_operations=6400",17.73,29350,4.26,0.55,1GB,6400,1073741824
100MB_100,"data_size=100MB, number_of_operations=100",17.72,468,4.26,0.53,100MB,100,104857600
1GB_800,"data_size=1GB, number_of_operations=800",17.64,3667,4.25,0.53,1GB,800,1073741824
100MB_800,"data_size=100MB, number_of_operations=800",17.45,3748,4.23,0.49,100MB,800,104857600
100MB_51200,"data_size=100MB, number_of_operations=51200",15.33,196574,4.00,0.00,100MB,51200,104857600
100MB_6400,"data_size=100MB, number_of_operations=6400",15.33,24040,4.00,0.00,100MB,6400,104857600
