group,display_name,mse,count,latency_mean,latency_std,data_size_display,number_of_operations,data_size
2GB_51200,"data_size=2GB, number_of_operations=51200",633.33,220588,24.37,6.30,2GB,51200,2147483648
1GB_6400,"data_size=1GB, number_of_operations=6400",423.63,31406,18.91,8.13,1GB,6400,1073741824
5GB_51200,"data_size=5GB, number_of_operations=51200",356.94,251744,17.79,6.37,5GB,51200,5368709120
200MB_6400,"data_size=200MB, number_of_operations=6400",343.09,27484,18.44,1.81,200MB,6400,209715200
200MB_800,"data_size=200MB, number_of_operations=800",314.81,3528,17.57,2.47,200MB,800,209715200
1GB_51200,"data_size=1GB, number_of_operations=51200",313.89,224647,17.42,3.22,1GB,51200,1073741824
500MB_6400,"data_size=500MB, number_of_operations=6400",309.58,31812,15.79,7.76,500MB,6400,524288000
10GB_51200,"data_size=10GB, number_of_operations=51200",224.21,247368,13.73,5.98,10GB,51200,10737418240
10GB_6400,"data_size=10GB, number_of_operations=6400",214.17,30863,13.77,4.95,10GB,6400,10737418240
2GB_409600,"data_size=2GB, number_of_operations=409600",213.19,2036544,12.30,7.88,2GB,409600,2147483648
200MB_51200,"data_size=200MB, number_of_operations=51200",213.17,254458,12.50,7.55,200MB,51200,209715200
1GB_800,"data_size=1GB, number_of_operations=800",202.92,3762,12.80,6.26,1GB,800,1073741824
5GB_6400,"data_size=5GB, number_of_operations=6400",184.15,31488,13.01,3.86,5GB,6400,5368709120
500MB_800,"data_size=500MB, number_of_operations=800",156.25,3931,11.72,4.34,500MB,800,524288000
2GB_800,"data_size=2GB, number_of_operations=800",128.49,3738,10.63,3.94,2GB,800,2147483648
5GB_409600,"data_size=5GB, number_of_operations=409600",122.22,1959704,9.85,5.02,5GB,409600,5368709120
500MB_100,"data_size=500MB, number_of_operations=100",116.51,422,10.02,4.03,500MB,100,524288000
200MB_100,"data_size=200MB, number_of_operations=100",114.95,454,10.59,1.71,200MB,100,209715200
1GB_100,"data_size=1GB, number_of_operations=100",109.92,478,10.15,2.64,1GB,100,1073741824
5GB_800,"data_size=5GB, number_of_operations=800",105.17,3868,10.04,2.10,5GB,800,5368709120
2GB_6400,"data_size=2GB, number_of_operations=6400",104.53,29951,9.91,2.51,2GB,6400,2147483648
200MB_409600,"data_size=200MB, number_of_operations=409600",99.87,2035075,7.85,6.19,200MB,409600,209715200
5GB_100,"data_size=5GB, number_of_operations=100",98.61,474,9.43,3.11,5GB,100,5368709120
10GB_800,"data_size=10GB, number_of_operations=800",98.47,3806,9.34,3.36,10GB,800,10737418240
10GB_100,"data_size=10GB, number_of_operations=100",96.12,468,9.58,2.09,10GB,100,10737418240
2GB_100,"data_size=2GB, number_of_operations=100",88.44,471,9.12,2.32,2GB,100,2147483648
10GB_409600,"data_size=10GB, number_of_operations=409600",71.67,1889664,8.18,2.20,10GB,409600,10737418240
500MB_51200,"data_size=500MB, number_of_operations=51200",63.26,227579,6.84,4.06,500MB,51200,524288000
100MB_800,"data_size=100MB, number_of_operations=800",39.06,3876,6.14,1.16,100MB,800,104857600
100MB_100,"data_size=100MB, number_of_operations=100",37.84,477,5.97,1.49,100MB,100,104857600
100MB_6400,"data_size=100MB, number_of_operations=6400",36.05,31359,5.89,1.15,100MB,6400,104857600
100MB_51200,"data_size=100MB, number_of_operations=51200",35.97,178521,6.00,0.00,100MB,51200,104857600
100MB_409600,"data_size=100MB, number_of_operations=409600",27.68,1795773,5.20,0.83,100MB,409600,104857600
500MB_409600,"data_size=500MB, number_of_operations=409600",27.62,1852218,5.01,1.60,500MB,409600,524288000
1GB_409600,"data_size=1GB, number_of_operations=409600",26.28,1508011,5.08,0.67,1GB,409600,1073741824
