data_size,operation_type,write_buffer_size,compaction_style,bloom_filter_policy,number_of_operations,latency
104857600,GET,2097152,level,True,100,7.62
104857600,GET,2097152,level,True,1000,8.045
104857600,GET,2097152,level,True,10000,7.3747
104857600,GET,2097152,level,True,100000,4.03729
104857600,PUT,2097152,level,True,100,4.17
104857600,PUT,2097152,level,True,1000,4.222
104857600,PUT,2097152,level,True,10000,4.1023
104857600,PUT,2097152,level,True,100000,4.09118
104857600,SEEK,2097152,level,True,100,3.64
104857600,SEEK,2097152,level,True,1000,2.964
104857600,SEEK,2097152,level,True,10000,2.6043
104857600,SEEK,2097152,level,True,100000,3.80785
1073741824,GET,2097152,level,True,100,10.25
1073741824,GET,2097152,level,True,1000,6.158
1073741824,GET,2097152,level,True,10000,5.302
1073741824,GET,2097152,level,True,100000,5.18865
1073741824,PUT,2097152,level,True,100,4.86
1073741824,PUT,2097152,level,True,1000,4.357
1073741824,PUT,2097152,level,True,10000,4.1852
1073741824,PUT,2097152,level,True,100000,4.20989
1073741824,SEEK,2097152,level,True,100,3.38
1073741824,SEEK,2097152,level,True,1000,3.136
1073741824,SEEK,2097152,level,True,10000,3.0729
1073741824,SEEK,2097152,level,True,100000,3.96271
10737418240,GET,2097152,level,True,100,223.2
10737418240,GET,2097152,level,True,1000,105.386
10737418240,GET,2097152,level,True,10000,108.8953
10737418240,GET,2097152,level,True,100000,111.2715
10737418240,PUT,2097152,level,True,100,3.99
10737418240,PUT,2097152,level,True,1000,3.982
10737418240,PUT,2097152,level,True,10000,4.0065
10737418240,PUT,2097152,level,True,100000,4.30942
10737418240,SEEK,2097152,level,True,100,11.29
10737418240,SEEK,2097152,level,True,1000,5.301
10737418240,SEEK,2097152,level,True,10000,3.2547
10737418240,SEEK,2097152,level,True,100000,3.95567
